schikowski_chintang	Schikowski-Chintang	"Robert Schikowski's personal bibliography of publications on Chintang.
Given to us by Robert Schikowski in early 2011."
otomanguean	OM	"A 2003 Bibliography of Otomanguean Languages (Version: March 1, 2003). Contributors: Thomas C. Smith Stark, William R. Merrifield, Annette Veerman-Leichsenring, S\o{}ren Wichmann, Monica Macaulay, Scott Berthiaume, and Daniel Barrag\'on Trejo. Edited by S\o{}ren Wichmann. Given to us by S\o{}ren Wichmann in 2011. It was parsed by HH in 2012."
bahasa	BI	"The section of the library catalogue for Universitas Gadjah Mada
in Yogyakarta, concerning theses in linguistics defended there, plus
the section of the library catalogue for Universitas Atma Jaya in
Jakarta, concerning "bahasa" (language). They were culled and
parsed by HH in early 2012. The URL:s used were 
\url{http://etd.ugm.ac.id/index.php?mod=opac&sub=AdvOpac&act=view&typ=html&opac_page=1&cari=&first=1&op=opac&obyek_id=4&srcjudul=bahasa&lokasi=1&link=1&jenis_id=} for Universitas Gadjah Mada and
\url{http://lib.atmajaya.ac.id/DDefault.aspx?tabID=52&jdl=bahasa&p=1}
for Universitas Atma Jaya."
sn	nordhoff	"Sebastian Nordhoff's personal bibliography. Date of export 13 May 2012."
anla	ANLC	"The bibliography of the Alaska Native Language Center autoparsed sometime
in early 2012 by a student assistant of Sebastian Nordhoff. Language
identifications added by HH the 13 May 2012."
hedvig-tirailleur	HED	"Hedvig Skirgard's bibliography for her MA thesis on Tirailleur French.
Given to us by Hedvig in July 2013."
bowern	BOW	"Claire Bowern's bibliography. Given to us by Claire Bowern in August 2013."
phoible	PHOIBLE	"The bibliography for the PHOIBLE database of phonological inventories. It
was partly annotated for language (by hand). Given to us by Steve Moran
in July 2014."
iso6393	iso6393	"Change requests submitted to the ISO 639-3 registration authority. Culled
from the iso-639-3 website by Robert Forkel."
goba	GOBA	"The bibliography of Georeferenzierte Online-Bibliographie Areallinguistik (GOBA).
Provided by the Forschungszentrum Deutscher Sprachatlas, Marburg \url{http://regionalsprache.de/GOBA/Katalog.aspx}
it was sent to us by Michael Cysouw 23 July 2014. Adapted by HH."
