Okani (B.30)	Okani (B.30)	**hv:vanderVeen:B30**
North and Central Vanuatu	North and Central Vanuatu	**h:Tryon:Espiritu-Santo** **hv:Clark:North-Central-Vanuatu**
lwu	lwu	**vphon:Yang:Lawu**
lwm	lwm	**ldsoc:Xu:Laomian**:99-100
lwa	lwa	**v:Meeussen:Mbagani-Lwalwa**
Leinong-Makyan	Leinong-Makyan	**hvsoc:Wayeshaetal:Lahe**
nka	nka	**hv:Bastinetal:Bantu**:219
nkb	nkb	**hb:Matisoff:Tibeto-Burman**
Ramu	Ramu	**hv:Foley:Sepik:2013**
nkn	nkn	**g:Fleisch:Lucazi**:13
nkp	nkp	**hv:Biggs:Polynesian**
jml	jml	**ld:Sijapati:Jumli**
nkw	nkw	**s:Mangulu:Lonkutsu**
Californian Uto-Aztecan	Californian Uto-Aztecan	**hv:Hill:Uto-Aztecan** **hvb:Golla:California**
Lezgic	Lezgic	**hv:Kassian:Lezginskix**
tnu	tnu	**he:Schliesinger:Austro-Thai**
tnv	tnv	**h:Bernot:Chittagong**
xhe	xhe	**w:Morgenstierne:Khetrani** **hvw:Grierson:8:I**
Minahasan	Minahasan	**hv:Sneddon:Proto-Minahasan**
Nuclear Goroka	Nuclear Goroka	**hvw:Scott:East-Central**:163-197
era	era	**he:Thurston:SIndia:2** **h:Reddy:South-Indian**
Victorian Pama-Nyungan	Victorian Pama-Nyungan	**hv:BowernAtkinson:Pama-Nyungan**
tni	tni	**hv:Kamholz:South-Halmahera-West-New-Guinea**:140
West Chadic A.1	West Chadic A.1	**hv:Newman:Chadic:1977**
West Chadic A.3	West Chadic A.3	**hv:Takacs:Angas-Sura**
West Chadic A.4	West Chadic A.4	**hv:Newman:Chadic:1977**
Mandaraic	Mandaraic	**hv:Gravina:Central-Chadic**:51-53
Western Nilotic	Western Nilotic	**hvtyp:Storch:WNilotic**
Southern Uto-Aztecan	Southern Uto-Aztecan	**hv:Merrill:Southern-Uto-Aztecan** **hv:Hill:Uto-Aztecan**
Mountain Ok	Mountain Ok	**hvw:Healey:Ok**
Kalamian	Kalamian	**hv:Himes:Kalamian**
Hunter-Hastings	Hunter-Hastings	**hvw:Waferetal:New-South-Wales**
end	end	**phon:McDonnell:Ende**
Bihari	Bihari	**hv:Jeffers:Bihari**
eno	eno	**v:Edwards:Enggano**
Zaparoan	Zaparoan	**hv:deCarvalho:Zaparoan**
NOCODE_Old-Malay	NOCODE_Old-Malay	**s:Mahdi:OldMalay**
hor	hor	**hw:Gaudefroy-Demombynes:Oubangui-Chari**
Southwest Coastal Malekula	Southwest Coastal Malekula	**g:Dimock:Nahavaq**:5
South Tanimbar	South Tanimbar	**hv:Hughes:Kei-Tanimbar-Aru** **hv:Collins:Maluku**
Chuwaboic	Chuwaboic	**wsoc:Reiman:Lolo**
hoy	hoy	**hvwld:Grierson:4**
Dusunic	Dusunic	**hv:Smith:Sabah**:26-40 **hdialsoc:BankerBanker:Kadazan-Dusun**
lak	lak	**hv:Elders:Kebi-Benue**
Irula-Muduga	Irula-Muduga	**lde:Zvelebil:Irulas**:107 **v:Subrahmanyam:Irula**
laz	laz	**s:Holzknecht:Aribwatsa**
Sardo-Corsican	Sardo-Corsican	**s:Jones:Sardinian** **hv:Agard:Romance**:61-73
Algonquian	Algonquian	**hv:Campbell:1997**
Tsamosan	Tsamosan	**hv:Czaykowska-HigginsKinkade:Salish**
Adamawa Bua	Adamawa Bua	**hv:Boyeldieu:Boua**
Giimbiyu	Giimbiyu	**s:Campbell:Urningangk**
Comorian Bantu	Comorian Bantu	**hvw:Full:Komorischen**
Sinitic	Sinitic	**hvtyp:Yue:Chinese**
Charruan	Charrúan	**w:Lafone:Chanases**
Nage-Keo	Nage-Keo	**g:Baird:Keo**
Tivoid	Tivoid	**hvw:Blench:Tivoid**
Kordofan Nubian	Kordofan Nubian	**typ:ComfortJakobi:Uncunwee**:27
Matumbic	Matumbic	**hv:Nurse:SWTanzania**:93
NOCODE_Nam	NOCODE_Nam	**hv:vanDriem:Himalayas**
wud	wud	**hv:Kluge:Gbe:2006**
Makaaic	Makaaic	**hv:Cheucle:Makaa-Njem**:516
wuh	wuh	**s:Janhunenetal:Wutun**:11-12
ima	ima	**he:Singh:Scheduled**:702
fit	fit	**g:PohjanenMuli:Meankieli**
Brahmaputran	Brahmaputran	**hv:vanDriem:Himalayas** **hv:Matisoff:Jingpho**:3, 41-42
Dagan	Dagan	**hv:Dutton:SEPapua**:15-19
Maewo	Maewo	**hvb:LynchCrowley:Vanuatu**
Kela-Ntomba	Kela-Ntomba	**hv:Bastinetal:Bantu**:205-206
imy	imy	**w:Sherevoshkin:Milyan**
Banda	Banda	**hvw:Olson:Banda**
Ukrainian-Rusyn	Ukrainian-Rusyn	**g:Pugh:Rusyn**:1-9
Yaka-Suku	Yaka-Suku	**v:BostoenKoni:Hungan**
NOCODE_Wayumara	NOCODE_Wayumara	**hv:Girard:Carib**
Agi-Yeri	Agi-Yeri	**hvw:Laycock:Lumi**:48 and p.c.~Jennifer Wilson
mxj	mxj	**hld:Sun:Eastern-Himalayan-China** **hvw:BlenchPost:Arunachal**
Lobiri-Jaane	Lobiri-Jaane	**v:Miehe:Lobiri-Jaane**
mxg	mxg	**hw:ChatelainSummer:Lange-Songe-Mbangala-Kioko-Lunda**
Shona (S.10)	Shona (S.10)	**hv:EhretKinsman:SAfrica**
Kirma-Tyurama	Kirma-Tyurama	**v:Miehe:Cerma-Curama**
Turkic	Turkic	**hv:Johanson:Turkic:2006** **hv:Johanson:Turkic:2006** **sv:Pakendorf:Sakha**:4-7
Goilalan	Goilalan	**hv:Dutton:SETNG**:631-632 **hv:HooleyMcElhanon:Morobe**:1076
Celebic	Celebic	**hv:Mead:Celebic**
Chaga	Chaga	**hv:Winter:Kilimanjaro-Bantu** **hv:Nurse:ChagaTaita**
Mongolic	Mongolic	**hv:Rybatzki:Mongolic**
Numic	Numic	**hv:Garrettetal:Numic**
xga	xga	**hvld:EskaEvans:Continental-Celtic**
Central Maluku	Central Maluku	**hvw:Collins:CMaluku**
Dhivehi-Sinhala	Dhivehi-Sinhala	**g:Cain:Dhivehi**
Tusia	Tusia	**typ:Winkelmann:Win**
ajz	ajz	**hv:vanDriem:Himalayas**:583
Chitral	Chitral	**hvld:Bashir:Dardic**
Uruwa	Uruwa	**g:McElhanon:Selepet-Finisterre-Huon**:44
goe	goe	**hv:vanDriem:Himalayas** **hvld:vanDriem:Black-Mountain**
Northern Uto-Aztecan	Northern Uto-Aztecan	**hv:Hill:Uto-Aztecan**
smt	smt	**hv:Bradley:Tibeto-Burman**:90
wss	wss	**h:DolphyneDakubu:Volta-Comoe**
Saami	Saami	**hv:Sammallahti:Saami**:6-38
Batuley-Mariri	Batuley-Mariri	**g:Daigle:Batuley**:1-2
smm	smm	**h:SkarGurung:Tharus** **h:Guneratne:Tharu**
Ok-Oksapmin	Ok-Oksapmin	**hv:LoughnaneFedden:Oksapmin-Ok**
Ifugaw	Ifugaw	**hw:Walrod:Dialect-Ifugao**
smd	smd	**e:Heintze:Kisama**
goq	goq	**h:Taber:Maluku**:126
nty	nty	**hld:Edmondson:3Tibeto-Burman**
North Bougainville Oceanic	North Bougainville Oceanic	**hv:Ross:WMelanesia**:215-256
Kanuri-Kanembu	Kanuri-Kanembu	**w:Lohretal:Kanuri**
Kiowa-Tanoan	Kiowa-Tanoan	**hvbtyp:Sutton:Kiowa-Tanoan**:1173-1191
Nadahup	Nadahup	**g:Epps:Hup**:3-5
Left_May	Left May	**hvw:ConradDye:USepik**
Chibchan	Chibchan	**hv:Constenla-Umana:Chibchan**
yia	yia	**s:Dench:Yingkarta**:9-12
Yimin-Bel	Yimin-Bel	**hsoc:Hutchinson:Heyoetc**:126
Beromic	Beromic	**hv:Blench:Prospecting**
uky	uky	**w:Hall:Kuk-Yak**
NOCODE_Bafoto	NOCODE_Bafoto	**s:Hulstaert:Bafoto**
atm	atm	p.c.~Jason Lobel 2012
atk	atk	**hv:Blust:CPhilippines**:80
Lower Mamberamo	Lower Mamberamo	**h:Jones:ECenderawasih** **s:Donohue:Warembori** **w:LeRoux:Woordenlijsten**
Kwalean	Kwalean	**hv:Dutton:SETNG**:636
Nyanga-Mituku-Lega	Nyanga-Mituku-Lega	**hv:Bastinetal:Bantu**:209-210 **hvb:vanBulck:Congo**:228-235xs
Oti-Volta Oriental	Oti-Volta Oriental	**hv:Sambieni:Proto-Oti-Volta-Oriental**
Pashayi	Pashayi	**hvld:Bashir:Dardic**
isa	isa	**hv:Pawley:Chequered-TNG**:93 **hv:Ross:Voorhoeve**:146
kfw	kfw	**h:Grierson:Chote-Muntuk-Karum**
nhg	nhg	**g:Tuggy:Tetelcingo**
nhf	nhf	**hv:OGrady:Proto-Ngayarda**
kfr	kfr	**lde:Schaad:Cutchi-Kenya**
kfs	kfs	**hs:Bailey:Himalaya**
nhc	nhc	**phonw:Garcia:Jalupa-Tabasco** **hvw:Lastra:Nahuatl-Moderno**
North New Guinea linkage	North New Guinea linkage	**hv:Ross:WMelanesia**:120-132
nhh	nhh	**hvw:Grierson:7**
nht	nht	**hvw:Lastra:Nahuatl-Moderno**
nhq	nhq	**hvw:Lastra:Nahuatl-Moderno**
Luric	Luric	**hvw:Anonby:Luri**
kfl	kfl	**h:Good:Fungom**
Albanian-Tosk	Albanian-Tosk	**hv:Sasse:Albanischen**
nhy	nhy	**hvw:Lastra:Nahuatl-Moderno**
kfh	kfh	**hb:RamaiahReddy:Tribal-Dravidian**
nhz	nhz	**hvw:Lastra:Nahuatl-Moderno**
toz	toz	**hv:Elders:Kebi-Benue**
Kesawai-Sausi	Kesawai-Sausi	**hb:Zgraggen:Madang**:13
Eastern Admiralty Islands	Eastern Admiralty Islands	**hv:Ross:WMelanesia**:315-345
Budja (C.36)	Budja (C.36)	**s:Mangulu:Buja** **hv:HackettvanBulck:ETeam**:77
Yolmo-Kagate	Yolmo-Kagate	**hv:Gawne:Yolmo-Kagate**
Ta-Ne-Omotic	Ta-Ne-Omotic	**hv:Bender:Omotic**
Markham	Markham	**hvphon:Holzknecht:Markham**
NOCODE_Tangam	NOCODE_Tangam	**ld:Post:Tangam**:9-10  **hv:Post:Defoliating-Tani**
Defoid	Defoid	**hv:Ohiri-Aniche:Akoko**
ukh	ukh	**v:Thornell:Ukhwejo**
