mdt	14.287675	-0.477445	Africa	
mdu	14.79347	0.43541	Africa	
NOCODE_Macuni	-39.809418	-17.904785	South America	2013
smz	155.42269	-6.23022	Papua	
smy	53.2868	35.5295	Eurasia	
smx	17.16583	-6.21344	Africa	
smw	117.47199	-8.71919	Papua	
smv	74.9104	18.30684	Eurasia	
smu	103.1387	12.24296	Eurasia	
smt	93.3265	24.54438	Eurasia	
sms	29.720375	68.832595	Eurasia	
smr	96.27569	2.50288	Papua	
smq	142.1952	-6.15496	Papua	
dsq	2.32653	16.685	Africa	
dsn	134.39057	-2.73859	Papua	
dso	82.646	18.965	Eurasia	
dsl	12.31866	55.82574	Eurasia	
sml	119.51763	5.154165	Papua	
smk	119.8527	16.30706	Papua	
smj	17.80575	67.275885	Eurasia	
dsh	35.98884	4.588785	Africa	
smh	99.92174	24.78593	Eurasia	
smg	151.95722	-4.88618	Papua	
smf	141.25383	-3.33662	Papua	
sme	22.11129	68.7249966667	Eurasia	
dse	4.91133	52.12512	Eurasia	
dsb	13.9407	51.66213	Eurasia	
smb	145.60346	-7.02259	Papua	
sma	13.70062	62.880125	Eurasia	
syo	104.13608	11.93601	Eurasia	
syn	51.43631	35.77764	Eurasia	
ian	143.31566	-4.30064	Papua	
atg	6.21209	7.15307	Africa	
atd	125.4992	7.7789	Papua	
ate	144.80568	-5.08137	Papua	
atb	98.36425	24.17265	Eurasia	
atc	-69.49999	-14.16665	South America	2013
ata	151.05018	-5.58045	Papua	
atn	48.68083	37.74693	Eurasia	
ato	9.72121	6.03539	Africa	
atl	123.55216	13.4588	Papua	
atm	122.9	9.715	Papua	
atj	-73.79888	47.95551	North America	
atk	122.51179	11.15394	Papua	
ati	-3.8209	5.9977	Africa	
atv	88.06722	50.89984	Eurasia	
atw	-120.66125	40.42711	North America	2013
att	121.29955	18.47381	Papua	
atu	30.49451	6.32234	Africa	
atr	-60.42595	-0.61832	South America	
ats	-108.73841	48.48341	North America	2013
atp	121.37861	18.21116	Papua	
atq	119.3193	-2.78397	Papua	
atz	121.65618	16.41851	Papua	
atx	-63.12023	4.20057	South America	
aty	169.82523	-20.18636	Papua	
kfv	87.3205	26.9175	Eurasia	
kfw	87.91733	26.14877	Eurasia	
kft	74.7355	25.69995	Eurasia	
kfu	73.17329	18.96695	Eurasia	
kfr	69.0	23.83	Eurasia	
kfs	76.67385	31.3842	Eurasia	
kfp	83.81422	23.41015	Eurasia	
kfq	77.55409	21.83579	Eurasia	
kfz	-1.96187	14.04599	Africa	
kfx	77.37721	31.83388	Eurasia	
kfy	80.0171	29.562155	Eurasia	
kff	81.20964	17.6772	Eurasia	
kfg	75.48962	12.33014	Eurasia	
kfd	75.19999	12.91628	Eurasia	
kfe	76.93865	11.4978	Eurasia	
kfb	78.49338	20.10216	Eurasia	
kfc	82.93402	18.26754	Eurasia	
kfa	75.91608	12.24429	Eurasia	
kfn	10.18407	6.43762	Africa	
kfo	-5.73572	8.11966	Africa	
kfl	10.20727	6.53881	Africa	
kfm	49.37419	36.69633	Eurasia	
kfj	101.14386	22.06028	Eurasia	
kfk	78.31478	31.36883	Eurasia	
kfh	75.52034	11.82263	Eurasia	
kfi	76.52555	11.38236	Eurasia	
xia	97.90515	24.5458	Eurasia	
